Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Indiana,2019,33,2019-08-17,1247,1141,21,259,32,51,13,81,24,23,,286,74,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,34,2019-08-24,1141,1038,18,246,29,47,,88,21,24,,249,53,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Indiana,2019,35,2019-08-31,1147,1056,20,236,23,51,,89,17,22,,261,54,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Indiana,2019,36,2019-09-07,1216,1079,28,251,31,36,12,88,28,28,11,254,58,0,0,,,,,,,,,,,,,,,
Indiana,2019,37,2019-09-14,1284,1159,21,274,43,48,,81,20,14,11,276,62,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
Indiana,2019,38,2019-09-21,1207,1106,25,260,37,37,12,93,19,24,14,235,62,0,0,,,,,,,,,,,,,,,
Indiana,2019,39,2019-09-28,1231,1121,25,271,35,49,10,64,20,29,,274,76,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,40,2019-10-05,1190,1076,23,239,38,56,12,82,19,23,12,265,50,0,0,,,,,,,,,,,,,,,
Indiana,2019,41,2019-10-12,1246,1128,29,278,27,43,13,86,20,33,,264,72,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,42,2019-10-19,1266,1141,23,263,35,54,17,81,18,27,13,277,57,0,0,,,,,,,,,,,,,,,
Indiana,2019,43,2019-10-26,1272,1164,20,260,34,51,15,69,25,21,,281,73,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,44,2019-11-02,1341,1227,28,276,48,60,14,97,27,30,,263,61,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,45,2019-11-09,1278,1191,22,247,49,49,17,82,21,24,11,305,74,0,0,,,,,,,,,,,,,,,
Indiana,2019,46,2019-11-16,1291,1182,31,260,41,57,15,90,15,26,,271,62,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,47,2019-11-23,1320,1213,21,288,47,45,11,98,25,34,10,297,56,0,0,,,,,,,,,,,,,,,
Indiana,2019,48,2019-11-30,1320,1213,22,239,60,54,,92,24,27,,300,72,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Indiana,2019,49,2019-12-07,1339,1208,20,280,37,62,22,95,30,33,,288,66,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,50,2019-12-14,1325,1219,29,242,48,45,23,90,29,32,,291,64,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,51,2019-12-21,1402,1299,21,256,47,71,26,104,16,38,,296,63,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2019,52,2019-12-28,1325,1222,27,262,46,46,21,104,22,26,,295,77,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2020,1,2020-01-04,1467,1356,27,258,47,51,43,114,30,40,10,334,61,0,0,,,,,,,,,,,,,,,
Indiana,2020,2,2020-01-11,1387,1261,21,243,40,54,37,110,27,29,,318,57,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2020,3,2020-01-18,1382,1273,28,285,49,51,22,95,20,36,,315,64,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2020,4,2020-01-25,1412,1297,27,269,54,56,27,110,17,34,10,311,62,0,0,,,,,,,,,,,,,,,
Indiana,2020,5,2020-02-01,1367,1274,25,296,50,48,20,82,29,39,10,290,73,0,0,,,,,,,,,,,,,,,
Indiana,2020,6,2020-02-08,1357,1254,28,267,48,61,29,100,21,22,,294,80,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2020,7,2020-02-15,1414,1319,21,275,40,62,25,112,26,29,12,320,64,0,0,,,,,,,,,,,,,,,
Indiana,2020,8,2020-02-22,1395,1291,22,292,37,56,26,97,22,31,,303,72,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2020,9,2020-02-29,1437,1315,30,272,47,60,38,107,23,37,,314,74,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2020,10,2020-03-07,1348,1246,19,259,44,72,32,97,24,31,19,314,70,0,0,,,,,,,,,,,,,,,
Indiana,2020,11,2020-03-14,1382,1296,22,307,35,49,43,110,23,37,,297,65,,,,,,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Indiana,2020,12,2020-03-21,1301,1210,14,248,43,60,27,94,31,26,13,269,70,15,14,,,,,,,,,,,,,,,
Indiana,2020,13,2020-03-28,1452,1374,23,302,52,63,40,95,24,34,,294,65,50,43,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2020,14,2020-04-04,1542,1448,31,249,65,74,39,107,30,29,11,285,61,150,133,,,,,,,,,,,,,,,
Indiana,2020,15,2020-04-11,1586,1487,16,239,51,66,31,115,28,28,,311,64,221,210,,,,,,,,,,,Suppressed (counts 1-9),,,,
Indiana,2020,16,2020-04-18,1445,1383,20,255,36,49,22,71,24,26,15,287,64,257,237,,,,,,,,,,,,,,,
Indiana,2020,17,2020-04-25,1511,1434,22,252,39,65,30,83,23,28,14,264,67,281,255,,,,,,,,,,,,,,,
Indiana,2020,18,2020-05-02,1385,1323,13,237,32,63,18,95,18,31,17,234,58,253,231,,,,,,,,,,,,,,,
Indiana,2020,19,2020-05-09,1325,1283,22,239,41,54,16,63,13,23,27,246,61,199,177,,,,,,,,,,,,,,,
Indiana,2020,20,2020-05-16,982,958,10,201,40,44,10,68,20,22,23,166,52,97,91,,,,,,,,,,,,,,,
Iowa,2019,1,2019-01-05,628,586,,115,23,26,13,36,12,,11,157,28,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Iowa,2019,2,2019-01-12,597,560,15,106,21,17,,41,13,,,167,18,0,0,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,3,2019-01-19,615,572,,115,13,29,17,46,,11,,152,30,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Iowa,2019,4,2019-01-26,615,572,,104,11,19,24,47,,,,163,30,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,5,2019-02-02,619,581,,143,14,26,12,43,12,,,141,35,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,6,2019-02-09,581,528,10,112,16,29,10,55,11,,14,127,27,0,0,,,,,,,,,,Suppressed (counts 1-9),,,,,
Iowa,2019,7,2019-02-16,625,575,,121,21,37,13,36,16,,,160,26,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,8,2019-02-23,650,612,,144,12,22,10,44,11,,,159,35,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,9,2019-03-02,603,557,12,114,20,17,15,41,,,10,136,36,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Iowa,2019,10,2019-03-09,589,548,,121,16,28,21,28,11,11,,134,36,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Iowa,2019,11,2019-03-16,634,599,,118,17,25,24,43,14,17,,148,23,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Iowa,2019,12,2019-03-23,633,583,,114,12,15,16,44,,10,,154,32,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Iowa,2019,13,2019-03-30,607,574,,123,20,27,20,29,11,,11,154,28,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Iowa,2019,14,2019-04-06,583,559,,137,16,20,11,38,,,10,152,22,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Iowa,2019,15,2019-04-13,597,538,,117,16,26,11,26,,10,,154,26,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Iowa,2019,16,2019-04-20,588,556,,121,11,33,17,41,10,,,159,27,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,17,2019-04-27,548,508,,107,17,26,19,41,,10,,131,21,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Iowa,2019,18,2019-05-04,564,538,,104,17,28,,43,11,,,159,21,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,19,2019-05-11,569,522,,107,13,20,10,42,10,11,,138,27,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Iowa,2019,20,2019-05-18,529,491,13,113,18,23,,25,,,,135,19,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,21,2019-05-25,585,543,,143,18,27,11,39,,10,,129,27,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Iowa,2019,22,2019-06-01,553,518,10,140,16,17,,34,,,10,144,17,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Iowa,2019,23,2019-06-08,581,539,,124,19,33,,22,,,15,160,18,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Iowa,2019,24,2019-06-15,589,541,,102,15,15,,43,,,10,161,28,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Iowa,2019,25,2019-06-22,542,499,,129,18,23,,24,,11,,113,29,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Iowa,2019,26,2019-06-29,554,507,11,116,15,19,,30,,,,120,28,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,27,2019-07-06,557,501,,122,20,25,,32,,,,137,27,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,28,2019-07-13,622,560,,117,17,31,,32,10,,,143,25,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,29,2019-07-20,538,492,,99,16,25,13,16,11,,,128,28,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,30,2019-07-27,560,519,,117,19,19,11,40,,,,131,27,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,31,2019-08-03,561,520,14,133,18,25,,30,12,,11,126,18,0,0,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Iowa,2019,32,2019-08-10,551,506,10,113,12,24,,30,10,,,141,20,0,0,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,33,2019-08-17,511,470,10,106,15,23,10,28,,,10,121,21,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Iowa,2019,34,2019-08-24,584,544,,117,17,26,12,33,15,10,,135,39,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Iowa,2019,35,2019-08-31,535,484,,123,12,16,,23,,,,133,18,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,36,2019-09-07,571,527,,137,13,25,,32,13,,,137,25,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,37,2019-09-14,572,525,,132,18,28,,36,,,,118,32,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,38,2019-09-21,538,498,,135,12,34,,36,,,,127,21,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,39,2019-09-28,559,515,10,126,19,29,,40,,,,119,31,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,40,2019-10-05,613,576,,139,26,26,,31,16,17,,142,26,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Iowa,2019,41,2019-10-12,592,550,,125,12,25,15,36,,,10,142,28,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Iowa,2019,42,2019-10-19,595,559,,128,14,25,,54,12,,,138,28,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,43,2019-10-26,601,547,,122,19,21,,35,13,,,149,26,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,44,2019-11-02,615,568,,137,15,38,10,27,,12,10,141,22,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Iowa,2019,45,2019-11-09,605,552,,128,15,28,14,31,,14,,130,30,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Iowa,2019,46,2019-11-16,605,566,,129,12,38,,40,14,,,144,29,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,47,2019-11-23,630,572,,126,15,24,11,40,,11,12,155,29,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Iowa,2019,48,2019-11-30,551,510,,109,18,25,12,30,10,,,147,22,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2019,49,2019-12-07,654,610,,129,23,42,,33,,10,,175,23,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Iowa,2019,50,2019-12-14,599,561,,98,16,28,16,35,11,13,,168,24,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Iowa,2019,51,2019-12-21,629,588,,112,18,32,13,39,,12,10,152,32,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Iowa,2019,52,2019-12-28,636,592,10,117,14,37,,41,10,10,,158,22,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Iowa,2020,1,2020-01-04,661,615,,115,19,28,12,62,18,,,168,24,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2020,2,2020-01-11,647,611,,147,24,38,17,33,13,,11,151,26,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Iowa,2020,3,2020-01-18,618,584,,116,27,23,17,51,17,,10,161,20,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Iowa,2020,4,2020-01-25,640,597,11,108,16,31,12,49,,,,174,30,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2020,5,2020-02-01,613,571,,118,17,28,16,50,,,,142,27,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2020,6,2020-02-08,635,592,,120,17,31,14,40,12,10,,163,34,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Iowa,2020,7,2020-02-15,596,541,,125,19,25,17,26,,,11,140,31,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Iowa,2020,8,2020-02-22,641,585,12,113,24,24,14,35,13,10,,157,25,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Iowa,2020,9,2020-02-29,641,597,,122,24,20,15,28,18,,,169,34,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2020,10,2020-03-07,621,572,10,114,20,27,23,50,10,,,141,22,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2020,11,2020-03-14,630,585,,136,13,27,26,40,,,,156,22,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2020,12,2020-03-21,589,557,,102,17,21,22,35,14,10,,140,22,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Iowa,2020,13,2020-03-28,589,560,10,110,13,38,21,44,12,,,134,28,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Iowa,2020,14,2020-04-04,600,561,15,123,19,39,17,39,,,12,120,19,16,15,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Iowa,2020,15,2020-04-11,583,559,11,136,15,28,,30,,10,,130,36,21,20,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Iowa,2020,16,2020-04-18,616,584,,143,17,39,11,15,,14,,143,26,36,36,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Iowa,2020,17,2020-04-25,559,521,,111,19,16,11,25,10,,11,107,24,50,45,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Iowa,2020,18,2020-05-02,615,588,,107,17,25,,38,13,,,129,27,59,56,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2020,19,2020-05-09,608,585,,131,25,26,,34,,,,124,23,73,67,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Iowa,2020,20,2020-05-16,476,467,,90,14,28,,26,,,0,120,18,61,57,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Kansas,2019,1,2019-01-05,588,549,,105,16,18,11,48,14,14,11,147,29,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Kansas,2019,2,2019-01-12,548,505,10,112,15,11,16,49,,12,,122,15,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Kansas,2019,3,2019-01-19,495,465,,102,25,15,16,30,,,,111,15,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Kansas,2019,4,2019-01-26,479,435,,87,23,20,,32,,10,,103,25,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Kansas,2019,5,2019-02-02,563,511,,112,18,18,14,40,11,,13,117,25,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Kansas,2019,6,2019-02-09,548,506,,124,20,16,,51,,14,,105,22,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Kansas,2019,7,2019-02-16,523,485,,94,25,22,21,29,,,,114,26,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Kansas,2019,8,2019-02-23,563,522,,115,14,19,14,43,11,12,,134,25,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Kansas,2019,9,2019-03-02,547,511,,97,16,20,21,34,,14,12,130,21,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Kansas,2019,10,2019-03-09,580,533,,94,18,24,11,33,14,10,10,146,29,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Kansas,2019,11,2019-03-16,557,525,,111,17,15,20,28,,13,15,124,26,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Kansas,2019,12,2019-03-23,533,485,,112,14,18,13,37,,,,113,23,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Kansas,2019,13,2019-03-30,538,496,,97,19,13,20,39,10,12,,120,25,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Kansas,2019,14,2019-04-06,517,477,,92,,18,12,35,,13,11,135,27,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,
Kansas,2019,15,2019-04-13,516,475,,100,19,13,16,45,,,,121,28,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Kansas,2019,16,2019-04-20,482,435,,95,13,10,,33,,11,,108,27,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Kansas,2019,17,2019-04-27,488,458,,104,21,22,,33,,10,11,105,27,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Kansas,2019,18,2019-05-04,506,460,10,105,15,11,,28,,10,14,117,20,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Kansas,2019,19,2019-05-11,506,465,,108,20,21,10,28,,,12,115,18,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Kansas,2019,20,2019-05-18,493,448,,89,18,14,,24,,16,,118,19,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Kansas,2019,21,2019-05-25,488,445,,84,11,11,,23,,10,10,131,23,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Kansas,2019,22,2019-06-01,483,435,,101,10,14,10,36,,,,102,25,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Kansas,2019,23,2019-06-08,502,460,,106,21,12,,32,,15,,111,25,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Kansas,2019,24,2019-06-15,473,438,,108,18,11,,32,,,,109,22,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Kansas,2019,25,2019-06-22,489,447,,104,19,,,35,,14,13,114,20,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Kansas,2019,26,2019-06-29,532,474,,97,20,13,,37,10,14,12,101,32,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Kansas,2019,27,2019-07-06,487,443,,91,21,14,,33,,,11,115,21,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Kansas,2019,28,2019-07-13,491,442,,108,12,,,33,,10,10,109,16,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Kansas,2019,29,2019-07-20,479,436,,103,18,18,,33,12,,,99,17,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Kansas,2019,30,2019-07-27,482,431,,105,11,15,,30,,10,,97,19,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Kansas,2019,31,2019-08-03,481,441,,94,13,17,,31,,15,,114,13,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Kansas,2019,32,2019-08-10,479,437,,97,21,,,19,,,14,100,23,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Kansas,2019,33,2019-08-17,464,412,,90,12,11,,25,,11,,112,20,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Kansas,2019,34,2019-08-24,458,408,,88,16,12,10,33,11,,11,98,17,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Kansas,2019,35,2019-08-31,442,404,,103,14,14,,26,,,,99,24,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Kansas,2019,36,2019-09-07,523,482,,122,16,19,,36,12,,14,104,19,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Kansas,2019,37,2019-09-14,490,448,,113,10,17,,29,,11,,117,19,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Kansas,2019,38,2019-09-21,495,454,,99,19,15,11,25,10,,10,111,19,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
